partner_id,company,hq_country,sells_in,contact_email,contact_phone,preferred_channel,product_id,product_name,category,intended_use,substances,has_battery,battery_type,battery_capacity_wh,has_radio,connector,packaging,markets,compliance_streams
P001,LumaNord Lighting GmbH,DE,EU,alerts@lumanord.example.com,+49 7131 000101,email,P001-A,NordBeam LED Panel 600,led_lighting,consumer,lead,False,none,0,False,none,cardboard,EU,RoHS|WEEE|EMC|LVD|EnergyLabel
P001,LumaNord Lighting GmbH,DE,EU,alerts@lumanord.example.com,+49 7131 000101,email,P001-B,FlexGlow RGB Strip 5m,led_lighting,consumer,lead|DEHP,False,none,0,False,barrel,plastic_film|cardboard,EU,RoHS|REACH|WEEE|EMC|LVD
P001,LumaNord Lighting GmbH,DE,EU,alerts@lumanord.example.com,+49 7131 000101,email,P001-C,SmartGlow Wi-Fi Bulb,led_lighting,consumer,,False,none,0,True,none,cardboard,EU,RED|RoHS|WEEE|EnergyLabel
P002,VoltEdge Power BV,NL,EU,alerts@voltedge.example.com,+31 20 0000202,email,P002-A,GaN USB-C Charger 65W,power_supply,consumer,,False,none,0,False,usb_c,cardboard,EU,RoHS|LVD|EMC|ESPR|EnergyLabel
P002,VoltEdge Power BV,NL,EU,alerts@voltedge.example.com,+31 20 0000202,email,P002-B,DeskDock USB-C Multiport,power_supply,consumer,,False,none,0,False,usb_c,cardboard,EU,RoHS|LVD|EMC|ESPR
P003,CellCore Energy Sp. z o.o.,PL,EU,alerts@cellcore.example.com,+48 22 0000303,sms,P003-A,PowerBank 20k Portable,battery_pack,consumer,,True,portable,74,False,usb_c,cardboard,EU,Battery|RoHS|WEEE
P003,CellCore Energy Sp. z o.o.,PL,EU,alerts@cellcore.example.com,+48 22 0000303,sms,P003-B,IndusCell 2.5kWh Module,battery_pack,industrial,,True,industrial,2500,False,none,cardboard,EU,Battery|RoHS|WEEE
P003,CellCore Energy Sp. z o.o.,PL,EU,alerts@cellcore.example.com,+48 22 0000303,sms,P003-C,CoinCell CR2032 10-pack,battery_pack,consumer,,True,button_cell,0.5,False,none,plastic_film|cardboard,EU,Battery|GPSR
P004,SonicWave Audio SARL,FR,EU,alerts@sonicwave.example.com,+33 1 00000404,whatsapp,P004-A,WaveGo Bluetooth Speaker,audio,consumer,BPA,True,portable,12,True,usb_c,cardboard,EU,RED|Battery|REACH|RoHS|WEEE
P004,SonicWave Audio SARL,FR,EU,alerts@sonicwave.example.com,+33 1 00000404,whatsapp,P004-B,StudioPods Headphones,audio,consumer,,True,portable,1.5,True,usb_c,cardboard,EU,RED|Battery|RoHS|WEEE
P004,SonicWave Audio SARL,FR,EU,alerts@sonicwave.example.com,+33 1 00000404,whatsapp,P004-C,WaveHome Soundbar,audio,consumer,,False,none,0,True,none,cardboard,EU,RED|RoHS|WEEE|EMC
P005,HomePulse Smart GmbH,DE,EU,alerts@homepulse.example.com,+49 30 000505,email,P005-A,MotionSense Sensor,smart_home,consumer,,True,button_cell,0.6,True,none,cardboard,EU,RED|RoHS|WEEE
P005,HomePulse Smart GmbH,DE,EU,alerts@homepulse.example.com,+49 30 000505,email,P005-B,HomeHub Controller,smart_home,consumer,,False,none,0,True,micro_usb,cardboard,EU,RED|RoHS|WEEE|LVD
P005,HomePulse Smart GmbH,DE,EU,alerts@homepulse.example.com,+49 30 000505,email,P005-C,PlugSense Smart Plug,smart_home,consumer,,False,none,0,True,none,cardboard,EU,RED|RoHS|WEEE|LVD
